------------------------------------------------------------------------------------------------------------------------------------------------------
PID                 Executed Processing Time      PC                  State               I/O                 CPU                 Transition
------------------------------------------------------------------------------------------------------------------------------------------------------
0                   0                             1                   RUNNING             0                   1                   READY -> RUNNING
0                   66                            67                  WAITING             1                   1                   RUNNING -> WAITING
1                   0                             1                   RUNNING             0                   1                   READY -> RUNNING
1                   5                             6                   WAITING             1                   1                   RUNNING -> WAITING
2                   0                             1                   RUNNING             0                   1                   READY -> RUNNING
2                   8                             9                   WAITING             1                   1                   RUNNING -> WAITING
3                   0                             1                   RUNNING             0                   1                   READY -> RUNNING
3                   32                            33                  WAITING             1                   1                   RUNNING -> WAITING
4                   0                             1                   RUNNING             0                   1                   READY -> RUNNING
4                   9                             10                  WAITING             1                   1                   RUNNING -> WAITING
5                   0                             1                   RUNNING             0                   1                   READY -> RUNNING
5                   13                            14                  WAITING             1                   1                   RUNNING -> WAITING
6                   0                             1                   RUNNING             0                   1                   READY -> RUNNING
6                   1                             2                   WAITING             1                   1                   RUNNING -> WAITING
7                   0                             1                   RUNNING             0                   1                   READY -> RUNNING
7                   23                            24                  WAITING             1                   1                   RUNNING -> WAITING
8                   0                             1                   RUNNING             0                   1                   READY -> RUNNING
8                   10                            11                  WAITING             1                   1                   RUNNING -> WAITING
9                   0                             1                   RUNNING             0                   1                   READY -> RUNNING
9                   2                             3                   WAITING             1                   1                   RUNNING -> WAITING
0                   66                            67                  WAITING             1                   1                   WAITING -> WAITING
1                   5                             6                   WAITING             1                   1                   WAITING -> WAITING
2                   8                             9                   READY               1                   1                   WAITING -> READY
3                   32                            33                  WAITING             1                   1                   WAITING -> WAITING
4                   9                             10                  WAITING             1                   1                   WAITING -> WAITING
5                   13                            14                  WAITING             1                   1                   WAITING -> WAITING
6                   1                             2                   READY               1                   1                   WAITING -> READY
7                   23                            24                  WAITING             1                   1                   WAITING -> WAITING
8                   10                            11                  READY               1                   1                   WAITING -> READY
9                   2                             3                   WAITING             1                   1                   WAITING -> WAITING
0                   66                            67                  READY               1                   1                   WAITING -> READY
1                   5                             6                   READY               1                   1                   WAITING -> READY
2                   8                             9                   RUNNING             1                   2                   READY -> RUNNING
2                   10                            11                  WAITING             2                   2                   RUNNING -> WAITING
3                   32                            33                  WAITING             1                   1                   WAITING -> WAITING
4                   9                             10                  WAITING             1                   1                   WAITING -> WAITING
5                   13                            14                  READY               1                   1                   WAITING -> READY
6                   1                             2                   RUNNING             1                   2                   READY -> RUNNING
6                   11                            12                  WAITING             2                   2                   RUNNING -> WAITING
7                   23                            24                  READY               1                   1                   WAITING -> READY
